osmid,road type,length,geometry
28623889,unclassified,388.748,"MULTILINESTRING ((104.100294 30.7147948, 104.1000959 30.7148658, 104.100294 30.7147948), (104.100294 30.7147948, 104.1004665 30.7147345, 104.1015994 30.7143386, 104.101751 30.7143139, 104.1018992 30.7142612, 104.1019833 30.7142235, 104.1018992 30.7142612, 104.101751 30.7143139, 104.1015994 30.7143386, 104.1004665 30.7147345, 104.100294 30.7147948))"
137133120,primary,1089.647,"LINESTRING (104.0962794 30.7083293, 104.0971857 30.7097352, 104.098382 30.7116315, 104.0986799 30.7120062, 104.0990961 30.7127592, 104.0995674 30.7134753, 104.100294 30.7147948, 104.1007853 30.7160125, 104.1008275 30.7161211, 104.1012443 30.7171199)"
184296328,tertiary,636.872,"MULTILINESTRING ((104.084002 30.6897702, 104.083862 30.6898358, 104.084002 30.6897702), (104.086253 30.6887158, 104.084002 30.6897702), (104.084002 30.6897702, 104.086253 30.6887158), (104.086253 30.6887158, 104.0867935 30.6884774, 104.086253 30.6887158))"
184255152,primary,1213.291,"LINESTRING (104.0867707 30.6942493, 104.0862428 30.6934154, 104.0853366 30.6920812, 104.0851631 30.6918036, 104.0847016 30.6911121, 104.083862 30.6898358, 104.0828949 30.6883861, 104.0824339 30.6876654, 104.0815966 30.6863526, 104.0811172 30.6856184, 104.080611 30.684879, 104.080525 30.6847522)"
132627766,primary,882.9060000000001,"LINESTRING (104.080525 30.6847522, 104.0807094 30.6846811, 104.081953 30.6842131, 104.0834657 30.6834437, 104.086345 30.6820455, 104.0864862 30.6819782, 104.0881066 30.6811884, 104.0886246 30.6809544)"
218383552,primary,1009.412,"LINESTRING (104.080525 30.6847522, 104.0798914 30.6838791, 104.0792805 30.6829958, 104.0787213 30.6821336, 104.0781717 30.681286, 104.0774447 30.6801027, 104.076785 30.6790722, 104.0755643 30.6772902, 104.075259 30.6768881)"
458891632,primary,1109.109,"LINESTRING (104.0690996 30.6799019, 104.0690625 30.6798515, 104.0676815 30.6779755, 104.0666948 30.676634, 104.0665841 30.6764835, 104.065661 30.675223, 104.0655401 30.6750438, 104.0654513 30.6749197, 104.0639837 30.6729556, 104.0629851 30.671597, 104.0629843 30.6714527)"
409988943,secondary,1432.4729999999997,"LINESTRING (104.0692628 30.6798839, 104.0690996 30.6799019, 104.0684817 30.6800206, 104.0683177 30.6800653, 104.0681434 30.6801454, 104.0680127 30.6802279, 104.0679086 30.6803078, 104.0678356 30.6803724, 104.0677641 30.6804471, 104.0676947 30.6805282, 104.0671901 30.6811507, 104.0670815 30.681289, 104.0669397 30.6814313, 104.0668209 30.681536, 104.0666756 30.6816584, 104.066587 30.6817321, 104.066469 30.6818285, 104.0663196 30.6819397, 104.0661776 30.6820445, 104.066077 30.6821151, 104.0659763 30.6821782, 104.0658458 30.6822562, 104.0656902 30.6823357, 104.0655638 30.682394, 104.06541 30.6824587, 104.0652679 30.6825101, 104.0651204 30.6825535, 104.0649164 30.682612, 104.0645901 30.6827023, 104.063918 30.6828827, 104.0636713 30.6829473, 104.0634887 30.6830003, 104.0634185 30.6830302, 104.063256 30.6830994, 104.0630203 30.6832067, 104.062688 30.6833702, 104.0624716 30.6834709, 104.0622417 30.6835698, 104.0620208 30.6836429, 104.0618319 30.6837002, 104.0615579 30.6837539, 104.0612588 30.6838027, 104.0609695 30.6838509, 104.0607282 30.6838723, 104.060496 30.6838973, 104.0603053 30.6839144, 104.0602187 30.6839179, 104.0599904 30.6839149, 104.0597704 30.6839123, 104.0596314 30.6839044, 104.0594724 30.6838904, 104.0593053 30.6838776, 104.0591558 30.6838581, 104.0590172 30.6838367, 104.0588709 30.6838053, 104.0587339 30.6837726, 104.0585805 30.6837238, 104.0584776 30.6836867, 104.0583312 30.6836285, 104.0581537 30.683557, 104.0579657 30.6834768, 104.0577255 30.6833679, 104.057552 30.6832926, 104.0573081 30.6831893, 104.0569654 30.6830463, 104.0564222 30.6828202, 104.0563638 30.6827961, 104.0561002 30.6826875)"
28620974,primary,293.634,"LINESTRING (104.0664771 30.6548869, 104.0663521 30.6549805, 104.0663228 30.6549992, 104.0662182 30.6550499, 104.0660438 30.6550961, 104.0658749 30.6551053, 104.0648905 30.655102, 104.0644962 30.6551007, 104.0636505 30.6551256, 104.0635802 30.6551233, 104.0634798 30.6551263)"
28620975,primary,2158.4680000000003,"LINESTRING (104.0663872 30.6547707, 104.0664771 30.6548869, 104.0674967 30.6562044, 104.0680367 30.6569392, 104.0686087 30.6581301, 104.0686662 30.6582563, 104.0686684 30.6589077, 104.0686615 30.6591064, 104.0686305 30.6600011, 104.0685982 30.6608008, 104.0685834 30.6609819, 104.0684338 30.6626363, 104.0683291 30.6646259, 104.0682833 30.6657092, 104.0682751 30.6661391, 104.0682412 30.6676691, 104.0682236 30.6694712, 104.0682298 30.6695731, 104.0682567 30.6701182, 104.0683086 30.6709531, 104.0683626 30.6717434, 104.0684039 30.6722896, 104.0684368 30.6731262, 104.0684534 30.6731701, 104.0684826 30.6732024, 104.068529 30.6732335, 104.068603 30.6732617, 104.0686326 30.6732679, 104.0687058 30.6732763, 104.0689552 30.6732755)"
28620960,primary,217.89300000000003,"LINESTRING (104.0580855 30.6607276, 104.0581033 30.6605957, 104.0581101 30.6603938, 104.058165 30.6587697)"
458891646,primary,499.04400000000004,"LINESTRING (104.0580855 30.6607276, 104.0569854 30.6606906, 104.0567737 30.6606849, 104.0565523 30.6606822, 104.0563787 30.6607044, 104.056205 30.6607475, 104.0560714 30.660789, 104.0559541 30.6608444, 104.055573 30.6611109, 104.0540374 30.6625615, 104.0538656 30.6627508)"
37129291,secondary,136.373,"LINESTRING (104.0537838 30.65015, 104.0541454 30.6505522, 104.0542256 30.6506463, 104.0545888 30.6510754, 104.054636 30.651133)"
589463659,residential,1254.3919999999998,"MULTILINESTRING ((104.0536902 30.6502087, 104.0528176 30.6508639, 104.0513792 30.6517392, 104.0502763 30.6522957, 104.0502067 30.6523544, 104.0502575 30.6524477, 104.0510606 30.6539476, 104.0510876 30.6540351, 104.0510606 30.6539476, 104.0502575 30.6524477, 104.0502067 30.6523544, 104.0502763 30.6522957, 104.0513792 30.6517392, 104.0528176 30.6508639, 104.0536902 30.6502087), (104.0536902 30.6502087, 104.0537838 30.65015, 104.0536902 30.6502087))"
